1667114412.692955, 0
1667114412.710302, 2
1667114412.732211, 0
1667114412.749731, 0
1667114412.764425, 7
1667114412.782350, 6
1667114412.795408, 12
1667114412.813983, 16
1667114412.828041, 20
1667114412.847644, 20
1667114412.859958, 19
1667114412.876164, 20
1667114412.890797, 19
1667114412.909259, 18
1667114412.923931, 19
1667114412.937490, 20
1667114412.949841, 19
1667114412.962324, 20
1667114412.975862, 19
1667114412.988162, 20
1667114413.000308, 19
1667114413.013443, 19
1667114413.027716, 20
1667114413.047523, 19
1667114413.060474, 20
1667114413.073791, 18
1667114413.086087, 18
1667114413.098967, 20
1667114413.112861, 19
1667114413.128379, 19
1667114413.145642, 18
1667114413.161480, 18
1667114413.180463, 15
1667114413.204233, 20
1667114413.220092, 19
1667114413.232863, 16
1667114413.247317, 18
1667114413.259819, 18
1667114413.274105, 15
1667114413.288668, 16
1667114413.302581, 15
1667114413.317209, 13
1667114413.332318, 13
1667114413.350854, 14
1667114413.366803, 15
1667114413.382449, 13
1667114413.397630, 13
1667114413.415496, 14
1667114413.431073, 14
1667114413.447605, 14
1667114413.464243, 14
1667114413.480453, 14
1667114413.496851, 14
1667114413.512840, 15
1667114413.529355, 15
1667114413.545921, 15
1667114413.561495, 15
1667114413.576695, 15
1667114413.592669, 13
1667114413.610168, 14
1667114413.626708, 15
1667114413.641380, 16
1667114413.657903, 16
1667114413.674963, 16
1667114413.694799, 16
1667114413.710403, 15
1667114413.725978, 15
1667114413.745463, 15
1667114413.761041, 15
1667114413.775651, 16
1667114413.790211, 16
1667114413.808437, 16
1667114413.826673, 15
1667114413.847664, 17
1667114413.863745, 18
1667114413.882311, 16
1667114413.899235, 17
1667114413.915758, 18
1667114413.936185, 17
1667114413.951328, 17
1667114413.967893, 18
1667114413.983910, 17
1667114413.999457, 18
1667114414.020911, 18
1667114414.035493, 19
1667114414.052087, 19
1667114414.069572, 19
1667114414.087169, 19
1667114414.105596, 19
1667114414.120178, 18
1667114414.135838, 19
1667114414.155311, 20
1667114414.173687, 19
1667114414.189258, 19
1667114414.209888, 20
1667114414.229131, 19
1667114414.244753, 20
1667114414.262330, 19
1667114414.285696, 19
1667114414.306039, 20
1667114414.322886, 19
1667114414.345043, 19
1667114414.360571, 11
1667114414.379595, 8
1667114414.395603, 7
1667114414.419915, 7
1667114414.435588, 8
1667114414.454094, 8
1667114414.471531, 8
1667114414.491968, 8
1667114414.508540, 8
1667114414.523633, 8
1667114414.542558, 9
1667114414.558131, 8
1667114414.574495, 10
1667114414.591832, 9
1667114414.613651, 9
1667114414.629214, 10
1667114414.644776, 10
1667114414.660459, 12
1667114414.678844, 10
1667114414.695436, 11
1667114414.710603, 11
1667114414.726551, 12
1667114414.746965, 10
1667114414.762554, 11
1667114414.778121, 12
1667114414.795787, 12
1667114414.813216, 12
1667114414.829710, 12
1667114414.846251, 12
1667114414.863767, 12
1667114414.880933, 13
1667114414.894950, 14
1667114414.907719, 13
1667114414.921054, 13
1667114414.935855, 13
1667114414.955262, 14
1667114414.971825, 14
1667114414.989329, 14
1667114415.006400, 14
1667114415.024372, 14
1667114415.037085, 14
1667114415.049731, 15
1667114415.062398, 16
1667114415.082824, 15
1667114415.096990, 15
1667114415.109728, 16
1667114415.122258, 15
1667114415.135315, 15
1667114415.147970, 15
1667114415.166422, 15
1667114415.180638, 16
1667114415.193741, 16
1667114415.206209, 16
1667114415.219150, 16
1667114415.232654, 16
1667114415.248197, 16
1667114415.264366, 18
1667114415.279350, 18
1667114415.294505, 17
1667114415.313439, 17
1667114415.329020, 16
1667114415.345575, 16
1667114415.360245, 17
1667114415.380665, 17
1667114415.397211, 19
1667114415.414639, 19
1667114415.429847, 19
1667114415.446302, 18
1667114415.461929, 18
1667114415.476896, 19
1667114415.492233, 20
1667114415.510078, 19
1667114415.525617, 18
1667114415.540205, 19
1667114415.554858, 19
1667114415.578068, 19
1667114415.590862, 18
1667114415.606874, 20
1667114415.623043, 19
1667114415.641418, 19
